source_id,post_title,post_status,post_excerpt,post_content
PROD-0001,Advanced Speaker - Model 0001,publish,Best-in-class speaker for modern lifestyles.,Professional-grade speaker suitable for home and office. Easy to set up and maintain.
PROD-0002,Ultra Speaker - Model 0002,publish,Best-in-class speaker for modern lifestyles.,High-quality speaker designed for everyday use. Features durable construction and modern aesthetics.
PROD-0003,Modern Tablet Stand - Model 0003,publish,Award-winning tablet stand designed for professionals.,Versatile and dependable tablet stand. Built with sustainability in mind using recycled materials.
PROD-0004,Advanced Cutting Board - Model 0004,publish,Next-generation cutting board with smart features.,Professional-grade cutting board suitable for home and office. Easy to set up and maintain.
PROD-0005,Professional Vitamin Pack - Model 0005,publish,Next-generation vitamin pack with smart features.,Professional-grade vitamin pack suitable for home and office. Easy to set up and maintain.
PROD-0006,Deluxe Card Game - Model 0006,publish,Top-rated card game with excellent build quality.,Professional-grade card game suitable for home and office. Easy to set up and maintain.
PROD-0007,Eco Resistance Band - Model 0007,publish,Top-rated resistance band with excellent build quality.,Professional-grade resistance band suitable for home and office. Easy to set up and maintain.
PROD-0008,Swift Jump Rope - Model 0008,publish,Top-rated jump rope with excellent build quality.,Professional-grade jump rope suitable for home and office. Easy to set up and maintain.
PROD-0009,Smart Resistance Band - Model 0009,publish,Affordable yet premium resistance band for everyone.,Versatile and dependable resistance band. Built with sustainability in mind using recycled materials.
PROD-0010,Swift Pen Set - Model 0010,publish,Affordable yet premium pen set for everyone.,The ultimate pen set for discerning customers. Precision engineering meets elegant design.
PROD-0011,Classic Phone Case - Model 0011,draft,Affordable yet premium phone case for everyone.,Upgrade your setup with this reliable phone case. Combines performance with value for money.
PROD-0012,Advanced USB Hub - Model 0012,draft,Award-winning usb hub designed for professionals.,The ultimate usb hub for discerning customers. Precision engineering meets elegant design.
PROD-0013,Essential Candle Set - Model 0013,pending,Next-generation candle set with smart features.,Upgrade your setup with this reliable candle set. Combines performance with value for money.
